MONTH,DAY,HOUR,LOAD,DRYBULB,DEWPOINT,DATE
1,1,1,12811,23.1,9.6,1/1/2002
1,1,2,12143,22.2,9.6,1/1/2002
1,1,3,11628,21,10,1/1/2002
1,1,4,11421,19.4,9.9,1/1/2002
1,1,5,11455,19.4,10.2,1/1/2002
1,1,6,11713,18.2,10.2,1/1/2002
1,1,7,12184,17.6,10.1,1/1/2002
1,1,8,12477,17.9,10.6,1/1/2002
1,1,9,13082,18.3,11.6,1/1/2002
1,1,10,13729,22.1,12.8,1/1/2002
1,1,11,14254,25.6,13,1/1/2002
1,1,12,14524,28.2,12.9,1/1/2002
1,1,13,14498,30.2,12.3,1/1/2002
1,1,14,14268,31.7,11.6,1/1/2002
1,1,15,14091,31.3,9.7,1/1/2002
1,1,16,14276,30.5,9.4,1/1/2002
1,1,17,15748,29,7.8,1/1/2002
1,1,18,17328,27.2,7.1,1/1/2002
1,1,19,17319,26.4,6.9,1/1/2002
1,1,20,16975,25.4,6.3,1/1/2002
1,1,21,16371,24.2,6.4,1/1/2002
1,1,22,15336,22.9,6.4,1/1/2002
1,1,23,13920,22,6.8,1/1/2002
1,1,24,12704,21.5,7.6,1/1/2002
1,2,1,11966,21,8.2,1/2/2002
1,2,2,11646,20.3,8.8,1/2/2002
1,2,3,11529,20.6,9.4,1/2/2002
1,2,4,11570,20.4,9.7,1/2/2002
1,2,5,11962,20.7,10,1/2/2002
1,2,6,13190,21,10.8,1/2/2002
1,2,7,15540,20.1,11.2,1/2/2002
1,2,8,17028,20.5,11.6,1/2/2002
1,2,9,17297,21.6,12.3,1/2/2002
1,2,10,17337,24.5,13.2,1/2/2002
1,2,11,17339,28,13.5,1/2/2002
1,2,12,17144,30.9,14.2,1/2/2002
1,2,13,16889,33.2,15.2,1/2/2002
1,2,14,16693,34.8,15.2,1/2/2002
1,2,15,16466,35.5,15.8,1/2/2002
1,2,16,16528,35.2,15.8,1/2/2002
1,2,17,17742,33.3,15.6,1/2/2002
1,2,18,19241,31.6,16.3,1/2/2002
1,2,19,19141,30.3,16.4,1/2/2002
1,2,20,18668,29.8,17.2,1/2/2002
1,2,21,17935,28.9,17.5,1/2/2002
1,2,22,16678,28,17.2,1/2/2002
1,2,23,14974,27.6,17.1,1/2/2002
1,2,24,13411,26.9,17.1,1/2/2002
1,3,1,12464,25.6,16.7,1/3/2002
1,3,2,12050,26.1,16.4,1/3/2002
1,3,3,11858,25.5,16.8,1/3/2002
1,3,4,11863,24.9,16.5,1/3/2002
1,3,5,12196,24.4,16.2,1/3/2002
1,3,6,13340,23.3,15.9,1/3/2002
1,3,7,15601,23.3,15.8,1/3/2002
1,3,8,17118,23.7,16.3,1/3/2002
1,3,9,17291,23.7,17.1,1/3/2002
1,3,10,17271,25.5,17.5,1/3/2002
1,3,11,17234,28.5,17.8,1/3/2002
1,3,12,17051,31.2,17.6,1/3/2002
1,3,13,16721,33.3,17.3,1/3/2002
1,3,14,16580,35.7,16.4,1/3/2002
1,3,15,16292,36.3,15.9,1/3/2002
1,3,16,16379,36.9,15.1,1/3/2002
1,3,17,17569,34.5,15.8,1/3/2002
