MONTH,DAY,HOUR,LOAD,temperature,DATE,power
1,1,1,12811,23.1,1/1/2002,128.11
1,1,2,12143,22.2,1/1/2002,121.43
1,1,3,11628,21,1/1/2002,116.28
1,1,4,11421,19.4,1/1/2002,114.21
1,1,5,11455,19.4,1/1/2002,114.55
1,1,6,11713,18.2,1/1/2002,117.13
1,1,7,12184,17.6,1/1/2002,121.84
1,1,8,12477,17.9,1/1/2002,124.77
1,1,9,13082,18.3,1/1/2002,130.82
1,1,10,13729,22.1,1/1/2002,137.29
1,1,11,14254,25.6,1/1/2002,142.54
1,1,12,14524,28.2,1/1/2002,145.24
1,1,13,14498,30.2,1/1/2002,144.98
1,1,14,14268,31.7,1/1/2002,142.68
1,1,15,14091,31.3,1/1/2002,140.91
1,1,16,14276,30.5,1/1/2002,142.76
1,1,17,15748,29,1/1/2002,157.48
1,1,18,17328,27.2,1/1/2002,173.28
1,1,19,17319,26.4,1/1/2002,173.19
1,1,20,16975,25.4,1/1/2002,169.75
1,1,21,16371,24.2,1/1/2002,163.71
1,1,22,15336,22.9,1/1/2002,153.36
1,1,23,13920,22,1/1/2002,139.2
1,1,24,12704,21.5,1/1/2002,127.04
1,2,1,11966,21,1/2/2002,119.66
1,2,2,11646,20.3,1/2/2002,116.46
1,2,3,11529,20.6,1/2/2002,115.29
1,2,4,11570,20.4,1/2/2002,115.7
1,2,5,11962,20.7,1/2/2002,119.62
1,2,6,13190,21,1/2/2002,131.9
1,2,7,15540,20.1,1/2/2002,155.4
1,2,8,17028,20.5,1/2/2002,170.28
1,2,9,17297,21.6,1/2/2002,172.97
1,2,10,17337,24.5,1/2/2002,173.37
1,2,11,17339,28,1/2/2002,173.39
1,2,12,17144,30.9,1/2/2002,171.44
1,2,13,16889,33.2,1/2/2002,168.89
1,2,14,16693,34.8,1/2/2002,166.93
1,2,15,16466,35.5,1/2/2002,164.66
1,2,16,16528,35.2,1/2/2002,165.28
1,2,17,17742,33.3,1/2/2002,177.42
1,2,18,19241,31.6,1/2/2002,192.41
1,2,19,19141,30.3,1/2/2002,191.41
1,2,20,18668,29.8,1/2/2002,186.68
1,2,21,17935,28.9,1/2/2002,179.35
1,2,22,16678,28,1/2/2002,166.78
1,2,23,14974,27.6,1/2/2002,149.74
1,2,24,13411,26.9,1/2/2002,134.11
1,3,1,12464,25.6,1/3/2002,124.64
1,3,2,12050,26.1,1/3/2002,120.5
1,3,3,11858,25.5,1/3/2002,118.58
1,3,4,11863,24.9,1/3/2002,118.63
1,3,5,12196,24.4,1/3/2002,121.96
1,3,6,13340,23.3,1/3/2002,133.4
1,3,7,15601,23.3,1/3/2002,156.01
1,3,8,17118,23.7,1/3/2002,171.18
1,3,9,17291,23.7,1/3/2002,172.91
1,3,10,17271,25.5,1/3/2002,172.71
1,3,11,17234,28.5,1/3/2002,172.34
1,3,12,17051,31.2,1/3/2002,170.51
1,3,13,16721,33.3,1/3/2002,167.21
1,3,14,16580,35.7,1/3/2002,165.8
1,3,15,16292,36.3,1/3/2002,162.92
1,3,16,16379,36.9,1/3/2002,163.79
1,3,17,17569,34.5,1/3/2002,175.69
1,3,18,19040,32.4,1/3/2002,190.4
1,3,19,18985,30.8,1/3/2002,189.85
1,3,20,18557,29.2,1/3/2002,185.57
1,3,21,17839,28.3,1/3/2002,178.39
1,3,22,16630,28,1/3/2002,166.3
1,3,23,14983,27.7,1/3/2002,149.83
1,3,24,13435,26.5,1/3/2002,134.35
1,4,1,12503,26,1/4/2002,125.03
1,4,2,12062,24.9,1/4/2002,120.62
1,4,3,11874,25,1/4/2002,118.74
1,4,4,11869,25.5,1/4/2002,118.69
1,4,5,12217,24.6,1/4/2002,122.17
1,4,6,13401,23.7,1/4/2002,134.01
1,4,7,15711,21.8,1/4/2002,157.11
1,4,8,17220,21.1,1/4/2002,172.2
1,4,9,17368,21.7,1/4/2002,173.68
1,4,10,17332,24.1,1/4/2002,173.32
1,4,11,17289,25.9,1/4/2002,172.89
1,4,12,17108,27.9,1/4/2002,171.08
1,4,13,16809,30.1,1/4/2002,168.09
1,4,14,16646,31.8,1/4/2002,166.46
1,4,15,16422,32.4,1/4/2002,164.22
1,4,16,16356,33.1,1/4/2002,163.56
1,4,17,17351,31.9,1/4/2002,173.51
1,4,18,18527,30.5,1/4/2002,185.27
1,4,19,18349,29.8,1/4/2002,183.49
1,4,20,17776,28.8,1/4/2002,177.76
1,4,21,17087,28.5,1/4/2002,170.87
1,4,22,16146,28.5,1/4/2002,161.46
1,4,23,14771,28.9,1/4/2002,147.71
1,4,24,13368,29.6,1/4/2002,133.68
1,5,1,12294,29.9,1/5/2002,122.94
1,5,2,11723,30.1,1/5/2002,117.23
1,5,3,11411,30.3,1/5/2002,114.11
1,5,4,11246,30.7,1/5/2002,112.46
1,5,5,11337,30.4,1/5/2002,113.37
1,5,6,11730,30.2,1/5/2002,117.3
1,5,7,12510,30.4,1/5/2002,125.1
1,5,8,13375,30.2,1/5/2002,133.75
1,5,9,14438,30.7,1/5/2002,144.38
1,5,10,15125,32.5,1/5/2002,151.25
1,5,11,15356,34.1,1/5/2002,153.56
1,5,12,15296,36.1,1/5/2002,152.96
1,5,13,15019,36.6,1/5/2002,150.19
1,5,14,14673,37.3,1/5/2002,146.73
1,5,15,14382,37.9,1/5/2002,143.82
1,5,16,14437,37.9,1/5/2002,144.37
1,5,17,15540,37,1/5/2002,155.4
1,5,18,16760,36.4,1/5/2002,167.6
1,5,19,16574,35.4,1/5/2002,165.74
1,5,20,16085,35.1,1/5/2002,160.85
1,5,21,15479,34.7,1/5/2002,154.79
1,5,22,14745,34.3,1/5/2002,147.45
1,5,23,13731,33.5,1/5/2002,137.31
1,5,24,12574,33,1/5/2002,125.74
1,6,1,11617,33.6,1/6/2002,116.17
1,6,2,11047,33.5,1/6/2002,110.47
1,6,3,10731,32.8,1/6/2002,107.31
1,6,4,10597,32.3,1/6/2002,105.97
1,6,5,10670,32,1/6/2002,106.7
1,6,6,10939,31,1/6/2002,109.39
1,6,7,11463,29.8,1/6/2002,114.63
1,6,8,12105,30.2,1/6/2002,121.05
1,6,9,13116,31.4,1/6/2002,131.16
1,6,10,13967,32.8,1/6/2002,139.67
1,6,11,14342,35.2,1/6/2002,143.42
1,6,12,14538,36.8,1/6/2002,145.38
1,6,13,14558,38.7,1/6/2002,145.58
1,6,14,14425,40.8,1/6/2002,144.25
1,6,15,14322,41.8,1/6/2002,143.22
1,6,16,14560,40.5,1/6/2002,145.6
1,6,17,15836,39.6,1/6/2002,158.36
1,6,18,16827,38.2,1/6/2002,168.27
1,6,19,16640,36.9,1/6/2002,166.4
1,6,20,16164,37.6,1/6/2002,161.64
1,6,21,15494,37,1/6/2002,154.94
1,6,22,14494,36.7,1/6/2002,144.94
1,6,23,13207,35,1/6/2002,132.07
1,6,24,12019,34.9,1/6/2002,120.19
1,7,1,11209,35,1/7/2002,112.09
1,7,2,10832,34.5,1/7/2002,108.32
1,7,3,10678,34.4,1/7/2002,106.78
1,7,4,10697,34,1/7/2002,106.97
1,7,5,11049,33.8,1/7/2002,110.49
1,7,6,12245,33.7,1/7/2002,122.45
1,7,7,14519,33.9,1/7/2002,145.19
1,7,8,16129,33.9,1/7/2002,161.29
1,7,9,16621,33.8,1/7/2002,166.21
1,7,10,16897,33.9,1/7/2002,168.97
1,7,11,17168,34.3,1/7/2002,171.68
1,7,12,17285,34,1/7/2002,172.85
1,7,13,17240,33,1/7/2002,172.4
1,7,14,17198,32.6,1/7/2002,171.98
1,7,15,17080,32.5,1/7/2002,170.8
1,7,16,17231,31.6,1/7/2002,172.31
1,7,17,18210,31,1/7/2002,182.1
1,7,18,19183,30.1,1/7/2002,191.83
1,7,19,18973,29.4,1/7/2002,189.73
1,7,20,18458,28.6,1/7/2002,184.58
1,7,21,17628,27.7,1/7/2002,176.28
1,7,22,16409,26.9,1/7/2002,164.09
1,7,23,14777,25.6,1/7/2002,147.77
1,7,24,13331,24.5,1/7/2002,133.31
1,8,1,12395,23.7,1/8/2002,123.95
1,8,2,12007,22.5,1/8/2002,120.07
1,8,3,11869,21.4,1/8/2002,118.69
1,8,4,11873,20,1/8/2002,118.73
1,8,5,12261,19.5,1/8/2002,122.61
1,8,6,13478,18.2,1/8/2002,134.78
1,8,7,15895,17.9,1/8/2002,158.95
1,8,8,17219,17.6,1/8/2002,172.19
1,8,9,17349,17.7,1/8/2002,173.49
1,8,10,17287,19.7,1/8/2002,172.87
1,8,11,17231,22.4,1/8/2002,172.31
1,8,12,17065,25.4,1/8/2002,170.65
1,8,13,16796,27.8,1/8/2002,167.96
1,8,14,16605,29.4,1/8/2002,166.05
1,8,15,16397,30.7,1/8/2002,163.97
1,8,16,16464,30.6,1/8/2002,164.64
1,8,17,17519,29.9,1/8/2002,175.19
1,8,18,19024,28.5,1/8/2002,190.24
1,8,19,18944,27.7,1/8/2002,189.44
1,8,20,18466,26.7,1/8/2002,184.66
1,8,21,17699,26.7,1/8/2002,176.99
1,8,22,16472,26.5,1/8/2002,164.72
1,8,23,14806,27.3,1/8/2002,148.06
1,8,24,13260,27.6,1/8/2002,132.6
1,9,1,12336,27.7,1/9/2002,123.36
1,9,2,11899,27.5,1/9/2002,118.99
1,9,3,11708,27.3,1/9/2002,117.08
1,9,4,11701,27,1/9/2002,117.01
1,9,5,12028,25.9,1/9/2002,120.28
1,9,6,13214,25.9,1/9/2002,132.14
1,9,7,15527,26.4,1/9/2002,155.27
1,9,8,16985,27.3,1/9/2002,169.85
1,9,9,17197,28.3,1/9/2002,171.97
1,9,10,17223,29.8,1/9/2002,172.23
1,9,11,17261,31.4,1/9/2002,172.61
1,9,12,17191,32.9,1/9/2002,171.91
1,9,13,17042,34,1/9/2002,170.42
1,9,14,16971,34.1,1/9/2002,169.71
1,9,15,16860,34.5,1/9/2002,168.6
1,9,16,16898,34.6,1/9/2002,168.98
1,9,17,17842,34.4,1/9/2002,178.42
1,9,18,18868,34.2,1/9/2002,188.68
1,9,19,18599,34.3,1/9/2002,185.99
1,9,20,18047,34,1/9/2002,180.47
1,9,21,17273,33.9,1/9/2002,172.73
1,9,22,15995,33.7,1/9/2002,159.95
1,9,23,14277,34.1,1/9/2002,142.77
1,9,24,12785,34.7,1/9/2002,127.85
1,10,1,11800,36.1,1/10/2002,118
1,10,2,11344,36.4,1/10/2002,113.44
1,10,3,11126,36.5,1/10/2002,111.26
1,10,4,11085,36.4,1/10/2002,110.85
1,10,5,11395,36.4,1/10/2002,113.95
1,10,6,12536,36.5,1/10/2002,125.36
1,10,7,14892,35.8,1/10/2002,148.92
1,10,8,16424,36.2,1/10/2002,164.24
1,10,9,16544,36.9,1/10/2002,165.44
1,10,10,16447,38.2,1/10/2002,164.47
1,10,11,16390,40.8,1/10/2002,163.9
1,10,12,16248,43.2,1/10/2002,162.48
1,10,13,16035,44.7,1/10/2002,160.35
1,10,14,15963,46,1/10/2002,159.63
1,10,15,15804,46.7,1/10/2002,158.04
1,10,16,15887,46.3,1/10/2002,158.87
1,10,17,16915,45.8,1/10/2002,169.15
1,10,18,18047,44.6,1/10/2002,180.47
1,10,19,17873,44.2,1/10/2002,178.73
1,10,20,17404,43.6,1/10/2002,174.04
1,10,21,16625,41.9,1/10/2002,166.25
1,10,22,15426,41.8,1/10/2002,154.26
1,10,23,13895,40.8,1/10/2002,138.95
