date,dayofweek,hour,temperature,load,power
6/1/2002,6,1,62.6,11203,112.03
6/1/2002,6,2,62.3,10524,105.24
6/1/2002,6,3,62.5,10128,101.28
6/1/2002,6,4,62.4,9892,98.92
6/1/2002,6,5,61.7,9827,98.27
6/1/2002,6,6,60.7,9825,98.25
6/1/2002,6,7,60.7,10577,105.77
6/1/2002,6,8,62.1,11954,119.54
6/1/2002,6,9,64,13371,133.71
6/1/2002,6,10,66.7,14255,142.55
6/1/2002,6,11,70.1,14691,146.91
6/1/2002,6,12,73.1,14863,148.63
6/1/2002,6,13,76.8,14840,148.4
6/1/2002,6,14,79.5,14750,147.5
6/1/2002,6,15,81.2,14684,146.84
6/1/2002,6,16,82.2,14712,147.12
6/1/2002,6,17,83.1,14819,148.19
6/1/2002,6,18,83.4,14848,148.48
6/1/2002,6,19,82.4,14582,145.82
6/1/2002,6,20,80.3,14317,143.17
6/1/2002,6,21,77.3,14574,145.74
6/1/2002,6,22,74.2,14460,144.6
6/1/2002,6,23,70.9,13294,132.94
6/1/2002,6,24,68.4,11935,119.35
6/2/2002,7,1,67,10848,108.48
6/2/2002,7,2,65,10142,101.42
6/2/2002,7,3,64,9728,97.28
6/2/2002,7,4,63.3,9514,95.14
6/2/2002,7,5,64,9449,94.49
6/2/2002,7,6,64,9461,94.61
6/2/2002,7,7,62.7,9751,97.51
6/2/2002,7,8,60.7,10568,105.68
6/2/2002,7,9,61.6,11733,117.33
6/2/2002,7,10,64.4,12771,127.71
6/2/2002,7,11,67.3,13398,133.98
6/2/2002,7,12,69.8,13698,136.98
6/2/2002,7,13,71.8,13731,137.31
6/2/2002,7,14,72.2,13502,135.02
6/2/2002,7,15,70.8,13267,132.67
6/2/2002,7,16,69.6,13146,131.46
6/2/2002,7,17,69.6,13200,132
6/2/2002,7,18,68.1,13301,133.01
6/2/2002,7,19,65.9,13250,132.5
6/2/2002,7,20,63.9,13249,132.49
6/2/2002,7,21,61.3,13669,136.69
6/2/2002,7,22,58.5,13433,134.33
6/2/2002,7,23,57,12099,120.99
6/2/2002,7,24,54.9,10743,107.43
6/3/2002,1,1,54.2,9834,98.34
6/3/2002,1,2,52.3,9378,93.78
6/3/2002,1,3,52,9199,91.99
6/3/2002,1,4,51.2,9159,91.59
6/3/2002,1,5,49.7,9384,93.84
6/3/2002,1,6,49.3,10168,101.68
6/3/2002,1,7,49.8,12274,122.74
6/3/2002,1,8,51,14101,141.01
6/3/2002,1,9,53.8,14907,149.07
6/3/2002,1,10,55.7,15328,153.28
6/3/2002,1,11,58.2,15656,156.56
6/3/2002,1,12,61.4,15798,157.98
6/3/2002,1,13,62.4,15785,157.85
6/3/2002,1,14,64.5,15846,158.46
6/3/2002,1,15,66.7,15771,157.71
6/3/2002,1,16,67.6,15687,156.87
6/3/2002,1,17,68.1,15703,157.03
6/3/2002,1,18,68.1,15529,155.29
6/3/2002,1,19,67.5,15138,151.38
6/3/2002,1,20,65.9,14835,148.35
6/3/2002,1,21,63,15162,151.62
6/3/2002,1,22,60.3,14721,147.21
6/3/2002,1,23,57.5,12994,129.94
6/3/2002,1,24,55.1,11345,113.45
6/4/2002,2,1,54.2,10363,103.63
6/4/2002,2,2,50.4,9848,98.48
6/4/2002,2,3,49.4,9609,96.09
6/4/2002,2,4,47.7,9540,95.4
6/4/2002,2,5,46.8,9733,97.33
6/4/2002,2,6,46.6,10493,104.93
6/4/2002,2,7,46.8,12537,125.37
6/4/2002,2,8,50.7,14302,143.02
6/4/2002,2,9,54.3,14999,149.99
6/4/2002,2,10,57.1,15408,154.08
6/4/2002,2,11,59.6,15725,157.25
6/4/2002,2,12,61.8,15858,158.58
6/4/2002,2,13,63.9,15867,158.67
6/4/2002,2,14,65.4,15950,159.5
6/4/2002,2,15,66.2,15874,158.74
6/4/2002,2,16,67.2,15799,157.99
6/4/2002,2,17,67.1,15757,157.57
6/4/2002,2,18,65.5,15531,155.31
6/4/2002,2,19,65.1,15127,151.27
6/4/2002,2,20,64.3,15066,150.66
6/4/2002,2,21,62.4,15453,154.53
6/4/2002,2,22,61.5,14812,148.12
6/4/2002,2,23,60.9,13109,131.09
6/4/2002,2,24,60,11539,115.39
6/5/2002,3,1,59.8,10544,105.44
6/5/2002,3,2,59.3,10028,100.28
6/5/2002,3,3,59.8,9783,97.83
6/5/2002,3,4,59.6,9688,96.88
6/5/2002,3,5,59.8,9924,99.24
6/5/2002,3,6,59.7,10885,108.85
6/5/2002,3,7,60.1,12987,129.87
6/5/2002,3,8,60.1,14844,148.44
6/5/2002,3,9,60.4,15584,155.84
6/5/2002,3,10,61.5,16049,160.49
6/5/2002,3,11,63.5,16493,164.93
6/5/2002,3,12,64.3,16648,166.48
6/5/2002,3,13,64.9,16614,166.14
6/5/2002,3,14,66.7,16712,167.12
6/5/2002,3,15,68.5,16697,166.97
6/5/2002,3,16,69.7,16715,167.15
6/5/2002,3,17,71.9,16829,168.29
6/5/2002,3,18,72.9,16728,167.28
6/5/2002,3,19,73.4,16338,163.38
6/5/2002,3,20,72.2,16109,161.09
6/5/2002,3,21,70.9,16473,164.73
6/5/2002,3,22,68.9,15993,159.93
6/5/2002,3,23,68.2,14231,142.31
6/5/2002,3,24,68.2,12556,125.56
6/6/2002,4,1,67.7,11495,114.95
6/6/2002,4,2,67.3,10789,107.89
6/6/2002,4,3,66.6,10503,105.03
6/6/2002,4,4,65.9,10385,103.85
6/6/2002,4,5,65.6,10579,105.79
6/6/2002,4,6,65.7,11517,115.17
6/6/2002,4,7,65.4,13636,136.36
6/6/2002,4,8,66.3,15685,156.85
6/6/2002,4,9,66.2,16624,166.24
6/6/2002,4,10,66.3,17139,171.39
6/6/2002,4,11,66.6,17467,174.67
6/6/2002,4,12,65.7,17469,174.69
6/6/2002,4,13,63.3,17175,171.75
6/6/2002,4,14,61.5,16978,169.78
6/6/2002,4,15,61.4,16642,166.42
6/6/2002,4,16,60.5,16367,163.67
6/6/2002,4,17,59.2,16253,162.53
6/6/2002,4,18,58.5,16078,160.78
6/6/2002,4,19,57.6,15768,157.68
6/6/2002,4,20,56.9,15608,156.08
6/6/2002,4,21,56.3,15647,156.47
6/6/2002,4,22,55.7,14820,148.2
6/6/2002,4,23,56,13227,132.27
6/6/2002,4,24,55.9,11673,116.73
6/7/2002,5,1,55,10626,106.26
6/7/2002,5,2,54.6,10074,100.74
6/7/2002,5,3,54.1,9816,98.16
6/7/2002,5,4,53.5,9706,97.06
6/7/2002,5,5,53.6,9873,98.73
6/7/2002,5,6,53.3,10757,107.57
6/7/2002,5,7,53.2,12707,127.07
6/7/2002,5,8,53.5,14512,145.12
6/7/2002,5,9,53.7,15324,153.24
6/7/2002,5,10,54.3,15681,156.81
6/7/2002,5,11,55,15927,159.27
6/7/2002,5,12,54.5,15928,159.28
6/7/2002,5,13,54,15749,157.49
6/7/2002,5,14,55.6,15624,156.24
6/7/2002,5,15,55.9,15400,154
6/7/2002,5,16,57.8,15185,151.85
6/7/2002,5,17,59.5,15022,150.22
6/7/2002,5,18,60.4,14691,146.91
6/7/2002,5,19,59.8,14233,142.33
6/7/2002,5,20,58.9,13928,139.28
6/7/2002,5,21,56.9,14144,141.44
6/7/2002,5,22,54,14048,140.48
6/7/2002,5,23,52,12880,128.8
6/7/2002,5,24,49.4,11449,114.49
6/8/2002,6,1,48,10399,103.99
6/8/2002,6,2,47.1,9787,97.87
6/8/2002,6,3,46.3,9480,94.8
6/8/2002,6,4,45.3,9340,93.4
6/8/2002,6,5,44.5,9340,93.4
6/8/2002,6,6,43.9,9444,94.44
6/8/2002,6,7,44.7,10114,101.14
6/8/2002,6,8,50.1,11287,112.87
6/8/2002,6,9,53.6,12573,125.73
6/8/2002,6,10,56.4,13328,133.28
6/8/2002,6,11,59.2,13609,136.09
6/8/2002,6,12,60.9,13610,136.1
6/8/2002,6,13,62.9,13407,134.07
6/8/2002,6,14,64.6,13169,131.69
6/8/2002,6,15,65.6,12971,129.71
6/8/2002,6,16,66.5,12881,128.81
6/8/2002,6,17,66.5,12898,128.98
6/8/2002,6,18,66.4,12967,129.67
6/8/2002,6,19,65.6,12848,128.48
6/8/2002,6,20,63.4,12767,127.67
6/8/2002,6,21,61.4,13172,131.72
6/8/2002,6,22,59.6,13108,131.08
6/8/2002,6,23,58,12105,121.05
6/8/2002,6,24,56.5,10946,109.46
6/9/2002,7,1,55.5,10052,100.52
6/9/2002,7,2,54.8,9458,94.58
6/9/2002,7,3,54.3,9127,91.27
6/9/2002,7,4,53.6,8964,89.64
6/9/2002,7,5,53,8931,89.31
6/9/2002,7,6,52.9,8869,88.69
6/9/2002,7,7,53.3,9210,92.1
6/9/2002,7,8,54.8,10076,100.76
6/9/2002,7,9,56.8,11265,112.65
6/9/2002,7,10,59.7,12234,122.34
6/9/2002,7,11,61.7,12799,127.99
6/9/2002,7,12,65.3,13193,131.93
6/9/2002,7,13,70.2,13327,133.27
6/9/2002,7,14,73.4,13281,132.81
6/9/2002,7,15,76.3,13260,132.6
6/9/2002,7,16,78.6,13382,133.82
6/9/2002,7,17,79.9,13633,136.33
6/9/2002,7,18,80.2,13940,139.4
6/9/2002,7,19,79.8,13948,139.48
6/9/2002,7,20,78.4,13985,139.85
6/9/2002,7,21,76.2,14590,145.9
6/9/2002,7,22,73.4,14604,146.04
6/9/2002,7,23,71.7,13183,131.83
6/9/2002,7,24,69.2,11704,117.04
6/10/2002,1,1,67.3,10688,106.88
6/10/2002,1,2,66.4,10134,101.34
6/10/2002,1,3,64.1,9846,98.46
6/10/2002,1,4,62.7,9730,97.3
6/10/2002,1,5,60.9,9923,99.23
6/10/2002,1,6,59.7,10658,106.58
6/10/2002,1,7,58.5,12685,126.85
6/10/2002,1,8,60.3,14596,145.96
6/10/2002,1,9,61.5,15538,155.38
6/10/2002,1,10,64.1,16126,161.26
6/10/2002,1,11,66,16575,165.75
6/10/2002,1,12,67.6,16773,167.73
6/10/2002,1,13,67.7,16821,168.21
6/10/2002,1,14,69.1,16973,169.73
6/10/2002,1,15,71.1,16999,169.99
6/10/2002,1,16,72.9,16990,169.9
6/10/2002,1,17,73.7,17003,170.03
6/10/2002,1,18,73.3,16761,167.61
6/10/2002,1,19,72.7,16256,162.56
6/10/2002,1,20,71.3,15866,158.66
6/10/2002,1,21,69.3,16086,160.86
6/10/2002,1,22,66.5,15662,156.62
6/10/2002,1,23,64.4,13829,138.29
6/10/2002,1,24,61.8,12088,120.88
6/11/2002,2,1,60.4,10960,109.6
6/11/2002,2,2,59.7,10370,103.7
6/11/2002,2,3,58.6,10112,101.12
6/11/2002,2,4,58.4,9999,99.99
6/11/2002,2,5,58.4,10198,101.98
6/11/2002,2,6,59.2,11022,110.22
6/11/2002,2,7,59.7,12986,129.86
6/11/2002,2,8,60.1,14839,148.39
6/11/2002,2,9,62.6,15756,157.56
6/11/2002,2,10,65.7,16455,164.55
6/11/2002,2,11,69.5,17146,171.46
6/11/2002,2,12,73.2,17683,176.83
6/11/2002,2,13,76.6,18105,181.05
6/11/2002,2,14,79.3,18643,186.43
6/11/2002,2,15,81.4,19008,190.08
6/11/2002,2,16,82.6,19278,192.78
6/11/2002,2,17,83.3,19324,193.24
6/11/2002,2,18,75.8,18808,188.08
6/11/2002,2,19,73.1,18087,180.87
6/11/2002,2,20,72.8,17514,175.14
6/11/2002,2,21,68.7,17470,174.7
6/11/2002,2,22,65.5,16693,166.93
6/11/2002,2,23,63.6,14791,147.91
6/11/2002,2,24,62.4,12982,129.82
6/12/2002,3,1,61.7,11784,117.84
6/12/2002,3,2,61.2,11108,111.08
6/12/2002,3,3,58.6,10764,107.64
6/12/2002,3,4,57.4,10592,105.92
6/12/2002,3,5,56.8,10716,107.16
6/12/2002,3,6,56,11469,114.69
6/12/2002,3,7,55.9,13422,134.22
6/12/2002,3,8,56.2,15303,153.03
6/12/2002,3,9,56.8,16188,161.88
6/12/2002,3,10,57.4,16643,166.43
6/12/2002,3,11,57.6,17012,170.12
6/12/2002,3,12,57.3,17185,171.85
6/12/2002,3,13,58.5,17127,171.27
6/12/2002,3,14,59.5,17155,171.55
6/12/2002,3,15,59.5,17001,170.01
6/12/2002,3,16,58.4,16933,169.33
6/12/2002,3,17,56.9,16875,168.75
6/12/2002,3,18,55.5,16638,166.38
6/12/2002,3,19,54.4,16152,161.52
6/12/2002,3,20,54,15762,157.62
6/12/2002,3,21,53,15646,156.46
6/12/2002,3,22,52.3,14912,149.12
6/12/2002,3,23,52.1,13266,132.66
6/12/2002,3,24,51.9,11701,117.01
6/13/2002,4,1,51.7,10681,106.81
6/13/2002,4,2,51.5,10144,101.44
6/13/2002,4,3,51.5,9873,98.73
6/13/2002,4,4,51.2,9792,97.92
6/13/2002,4,5,51.2,9976,99.76
6/13/2002,4,6,51.3,10778,107.78
6/13/2002,4,7,51.2,12681,126.81
6/13/2002,4,8,51.5,14499,144.99
6/13/2002,4,9,52.9,15207,152.07
6/13/2002,4,10,54,15577,155.77
6/13/2002,4,11,55.3,15857,158.57
6/13/2002,4,12,57,15945,159.45
6/13/2002,4,13,57.9,15875,158.75
6/13/2002,4,14,59.4,15904,159.04
6/13/2002,4,15,60.9,15824,158.24
6/13/2002,4,16,61.8,15723,157.23
6/13/2002,4,17,62.7,15684,156.84
6/13/2002,4,18,62.7,15466,154.66
6/13/2002,4,19,61.9,15103,151.03
6/13/2002,4,20,61.4,14956,149.56
6/13/2002,4,21,60.5,15332,153.32
6/13/2002,4,22,60.3,14973,149.73
6/13/2002,4,23,59.2,13390,133.9
6/13/2002,4,24,57.6,11790,117.9
6/14/2002,5,1,57,10741,107.41
6/14/2002,5,2,55.9,10173,101.73
6/14/2002,5,3,55,9897,98.97
6/14/2002,5,4,53.9,9785,97.85
6/14/2002,5,5,53.5,9956,99.56
6/14/2002,5,6,53.5,10704,107.04
6/14/2002,5,7,53.7,12555,125.55
6/14/2002,5,8,54.5,14352,143.52
6/14/2002,5,9,56,15242,152.42
6/14/2002,5,10,57.2,15687,156.87
6/14/2002,5,11,58.7,16056,160.56
6/14/2002,5,12,59.6,16141,161.41
6/14/2002,5,13,59.7,16008,160.08
6/14/2002,5,14,59.9,15928,159.28
6/14/2002,5,15,60.1,15736,157.36
6/14/2002,5,16,59.8,15437,154.37
6/14/2002,5,17,59.5,15286,152.86
6/14/2002,5,18,58.6,15071,150.71
6/14/2002,5,19,57.3,14767,147.67
6/14/2002,5,20,56.4,14527,145.27
6/14/2002,5,21,55,14599,145.99
6/14/2002,5,22,54.4,14111,141.11
6/14/2002,5,23,54.6,12926,129.26
6/14/2002,5,24,54.1,11570,115.7
6/15/2002,6,1,53.9,10538,105.38
6/15/2002,6,2,53.5,9938,99.38
6/15/2002,6,3,53.1,9628,96.28
6/15/2002,6,4,52.8,9477,94.77
6/15/2002,6,5,52.3,9481,94.81
6/15/2002,6,6,52.1,9712,97.12
6/15/2002,6,7,51.9,10318,103.18
6/15/2002,6,8,52,11424,114.24
6/15/2002,6,9,52.1,12809,128.09
6/15/2002,6,10,52.5,13857,138.57
6/15/2002,6,11,53,14344,143.44
6/15/2002,6,12,53.4,14422,144.22
6/15/2002,6,13,54,14205,142.05
6/15/2002,6,14,54.4,13836,138.36
6/15/2002,6,15,54.8,13489,134.89
6/15/2002,6,16,54.6,13284,132.84
6/15/2002,6,17,54.2,13281,132.81
6/15/2002,6,18,53.4,13356,133.56
6/15/2002,6,19,53.1,13351,133.51
6/15/2002,6,20,52.8,13363,133.63
6/15/2002,6,21,52,13533,135.33
6/15/2002,6,22,51.5,13221,132.21
6/15/2002,6,23,50.8,12258,122.58
6/15/2002,6,24,50.7,11074,110.74
6/16/2002,7,1,50.4,10141,101.41
6/16/2002,7,2,50.3,9588,95.88
6/16/2002,7,3,49.8,9282,92.82
6/16/2002,7,4,49.3,9124,91.24
6/16/2002,7,5,49.3,9084,90.84
6/16/2002,7,6,49.3,9116,91.16
6/16/2002,7,7,49.6,9446,94.46
6/16/2002,7,8,49.6,10291,102.91
6/16/2002,7,9,50.3,11463,114.63
6/16/2002,7,10,50.6,12454,124.54
6/16/2002,7,11,51.1,12988,129.88
6/16/2002,7,12,52.2,13221,132.21
6/16/2002,7,13,53.9,13160,131.6
6/16/2002,7,14,55.5,12923,129.23
6/16/2002,7,15,57.7,12722,127.22
6/16/2002,7,16,60.3,12660,126.6
6/16/2002,7,17,63.1,12853,128.53
6/16/2002,7,18,58.2,13103,131.03
6/16/2002,7,19,56.8,13226,132.26
6/16/2002,7,20,57,13197,131.97
6/16/2002,7,21,56.6,13528,135.28
6/16/2002,7,22,55.7,13441,134.41
6/16/2002,7,23,55.8,12197,121.97
6/16/2002,7,24,55.3,10941,109.41
6/17/2002,1,1,55.6,10098,100.98
6/17/2002,1,2,55.7,9664,96.64
6/17/2002,1,3,55.7,9476,94.76
6/17/2002,1,4,54.5,9433,94.33
6/17/2002,1,5,54.1,9672,96.72
6/17/2002,1,6,53.1,10398,103.98
6/17/2002,1,7,53.6,12222,122.22
6/17/2002,1,8,55.6,14099,140.99
6/17/2002,1,9,57.8,15174,151.74
6/17/2002,1,10,61.2,15842,158.42
6/17/2002,1,11,64.3,16330,163.3
6/17/2002,1,12,67.3,16552,165.52
6/17/2002,1,13,69.6,16558,165.58
6/17/2002,1,14,71,16613,166.13
6/17/2002,1,15,72.5,16539,165.39
6/17/2002,1,16,72.1,16382,163.82
6/17/2002,1,17,71.9,16364,163.64
6/17/2002,1,18,73.4,16169,161.69
6/17/2002,1,19,72.2,15743,157.43
6/17/2002,1,20,69.9,15450,154.5
6/17/2002,1,21,66.5,15674,156.74
6/17/2002,1,22,62.4,15236,152.36
6/17/2002,1,23,60.9,13555,135.55
6/17/2002,1,24,59.5,11913,119.13
6/18/2002,2,1,59.1,10790,107.9
6/18/2002,2,2,57.4,10193,101.93
6/18/2002,2,3,56.1,9899,98.99
6/18/2002,2,4,54.9,9760,97.6
6/18/2002,2,5,54.6,9927,99.27
6/18/2002,2,6,53,10588,105.88
6/18/2002,2,7,54.1,12471,124.71
6/18/2002,2,8,57.4,14378,143.78
6/18/2002,2,9,60.4,15427,154.27
6/18/2002,2,10,63.3,16057,160.57
6/18/2002,2,11,65.5,16512,165.12
6/18/2002,2,12,68.2,16741,167.41
6/18/2002,2,13,70.3,16823,168.23
6/18/2002,2,14,72.2,16984,169.84
6/18/2002,2,15,72.7,17016,170.16
6/18/2002,2,16,74.3,16940,169.4
6/18/2002,2,17,74.1,16874,168.74
6/18/2002,2,18,74.2,16616,166.16
6/18/2002,2,19,74.4,16138,161.38
6/18/2002,2,20,72.8,15723,157.23
6/18/2002,2,21,69.8,15852,158.52
6/18/2002,2,22,65.5,15617,156.17
6/18/2002,2,23,64.7,13966,139.66
6/18/2002,2,24,63.3,12256,122.56
6/19/2002,3,1,62,11117,111.17
6/19/2002,3,2,60.8,10459,104.59
6/19/2002,3,3,61.5,10133,101.33
6/19/2002,3,4,60,9978,99.78
6/19/2002,3,5,58.8,10141,101.41
6/19/2002,3,6,58.5,10829,108.29
6/19/2002,3,7,58.2,12657,126.57
6/19/2002,3,8,61.1,14543,145.43
6/19/2002,3,9,63.5,15765,157.65
6/19/2002,3,10,66.4,16510,165.1
6/19/2002,3,11,68.6,17029,170.29
6/19/2002,3,12,70,17311,173.11
6/19/2002,3,13,71.4,17380,173.8
6/19/2002,3,14,72.4,17533,175.33
6/19/2002,3,15,73.8,17539,175.39
6/19/2002,3,16,74,17398,173.98
6/19/2002,3,17,73.8,17316,173.16
6/19/2002,3,18,72.9,16973,169.73
6/19/2002,3,19,73.3,16436,164.36
6/19/2002,3,20,71.2,15967,159.67
6/19/2002,3,21,66.5,16057,160.57
6/19/2002,3,22,64.3,15781,157.81
6/19/2002,3,23,62.8,14133,141.33
6/19/2002,3,24,62,12433,124.33
6/20/2002,4,1,60.5,11230,112.3
6/20/2002,4,2,59.6,10548,105.48
6/20/2002,4,3,58.4,10219,102.19
6/20/2002,4,4,58,10066,100.66
6/20/2002,4,5,56.6,10194,101.94
6/20/2002,4,6,55.9,10855,108.55
6/20/2002,4,7,56.8,12645,126.45
6/20/2002,4,8,60.1,14641,146.41
6/20/2002,4,9,63.1,15906,159.06
6/20/2002,4,10,65.9,16772,167.72
6/20/2002,4,11,68.7,17392,173.92
6/20/2002,4,12,71.2,17772,177.72
6/20/2002,4,13,73,17884,178.84
6/20/2002,4,14,74.2,18111,181.11
6/20/2002,4,15,74.7,18117,181.17
6/20/2002,4,16,74.8,18039,180.39
6/20/2002,4,17,76.5,17935,179.35
6/20/2002,4,18,76.7,17566,175.66
6/20/2002,4,19,76.1,16937,169.37
6/20/2002,4,20,73.4,16368,163.68
6/20/2002,4,21,71.4,16365,163.65
6/20/2002,4,22,68.4,16132,161.32
6/20/2002,4,23,66.1,14472,144.72
6/20/2002,4,24,63.9,12712,127.12
6/21/2002,5,1,62.9,11482,114.82
6/21/2002,5,2,61.2,10711,107.11
6/21/2002,5,3,60.8,10435,104.35
6/21/2002,5,4,60.1,10176,101.76
6/21/2002,5,5,59.1,10339,103.39
6/21/2002,5,6,59.2,10913,109.13
6/21/2002,5,7,59.1,12632,126.32
6/21/2002,5,8,61.4,14658,146.58
6/21/2002,5,9,65.3,16043,160.43
6/21/2002,5,10,69.6,17017,170.17
6/21/2002,5,11,72.9,17744,177.44
6/21/2002,5,12,76,18222,182.22
6/21/2002,5,13,78.9,18376,183.76
6/21/2002,5,14,81,18664,186.64
6/21/2002,5,15,82.1,18745,187.45
